label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,0.7165185213088989,0.6919646263122559,-5.182566837902414e-07,0.6202242970466614,0.6617637872695923,0.010710325092077255,0.5487123727798462,0.6092963218688965,0.007120247930288315,0.48827674984931946,0.596147894859314,-0.005346448160707951,0.4335392117500305,0.5932721495628357,-0.01820390298962593,0.6088914275169373,0.4341115951538086,0.03959648311138153,0.5291332006454468,0.43158748745918274,0.027436381205916405,0.47369709610939026,0.4383520781993866,0.005131196696311235,0.4258565306663513,0.44238924980163574,-0.014049269258975983,0.6257933974266052,0.4212590157985687,0.01673097535967827,0.5243725776672363,0.41897132992744446,0.006217545364052057,0.46572086215019226,0.42764872312545776,-0.016334595158696175,0.41252219676971436,0.43163570761680603,-0.03596451133489609,0.637122392654419,0.4285559356212616,-0.009248548187315464,0.5353724956512451,0.4245196580886841,-0.020799146965146065,0.47381535172462463,0.43004047870635986,-0.03266368433833122,0.41939422488212585,0.4342353343963623,-0.04272017255425453,0.6359794735908508,0.4576975107192993,-0.03622698038816452,0.5492435097694397,0.4528347849845886,-0.045805953443050385,0.49833154678344727,0.4491178095340729,-0.04978914558887482,0.45381003618240356,0.44483858346939087,-0.05331669747829437
O,0.6527061462402344,0.6814219951629639,-7.554332910331141e-07,0.5616980195045471,0.6371870040893555,0.0015362552367150784,0.5148850083351135,0.5743650197982788,-0.006332984194159508,0.47659194469451904,0.5305380821228027,-0.022431014105677605,0.4599958658218384,0.4808124601840973,-0.03547784313559532,0.6226415634155273,0.42248600721359253,0.022085698321461678,0.5501927733421326,0.36398231983184814,-0.0018599785398691893,0.506534218788147,0.40292537212371826,-0.024008959531784058,0.4943634867668152,0.45824113488197327,-0.03643907979130745,0.6375303268432617,0.4158298969268799,0.004870769567787647,0.548599898815155,0.3479989469051361,-0.01708834059536457,0.503289520740509,0.40554308891296387,-0.031240954995155334,0.49806180596351624,0.4636084735393524,-0.037618305534124374,0.637819766998291,0.4236321449279785,-0.016836142167448997,0.5446881651878357,0.3468080759048462,-0.04307512193918228,0.49435991048812866,0.4042544960975647,-0.048438381403684616,0.4868987500667572,0.4657706916332245,-0.046301521360874176,0.6155019998550415,0.4454079866409302,-0.03914973884820938,0.5385136008262634,0.3764965832233429,-0.06261672079563141,0.49361711740493774,0.40146398544311523,-0.06448870152235031,0.4798165559768677,0.44797107577323914,-0.06016435846686363
L,0.8134520053863525,0.7697961926460266,-1.5920528895208008e-08,0.7199358940124512,0.7451649904251099,-0.0437040701508522,0.618016242980957,0.6956973075866699,-0.07875041663646698,0.5327056050300598,0.6967170238494873,-0.11608747392892838,0.46457892656326294,0.726495623588562,-0.15431547164916992,0.6499327421188354,0.4605345129966736,-0.030288061127066612,0.6011496782302856,0.3454645872116089,-0.06456121802330017,0.5683249235153198,0.27302175760269165,-0.08536111563444138,0.5458767414093018,0.20815783739089966,-0.1027693971991539,0.7185001969337463,0.44688013195991516,-0.041636448353528976,0.6911159157752991,0.3627516031265259,-0.1070021465420723,0.6915791034698486,0.4895608425140381,-0.12011364102363586,0.7018420100212097,0.5655218362808228,-0.11146412044763565,0.7902119159698486,0.4629220962524414,-0.06000933423638344,0.766120433807373,0.4160052537918091,-0.12421548366546631,0.7570023536682129,0.5385208129882812,-0.11352544277906418,0.7597910165786743,0.5976282954216003,-0.08859001100063324,0.8612449169158936,0.49592021107673645,-0.0820591002702713,0.8327665328979492,0.4482744634151459,-0.11654862761497498,0.8115271329879761,0.5365551710128784,-0.10051652044057846,0.807030439376831,0.5847307443618774,-0.0807475745677948
A,0.6425109505653381,0.7897546291351318,-7.721593533460691e-07,0.5434310436248779,0.7737102508544922,-0.047922659665346146,0.4457570016384125,0.694029688835144,-0.07563488930463791,0.43730539083480835,0.5979785323143005,-0.10449689626693726,0.515333890914917,0.5838825702667236,-0.1236218512058258,0.46475207805633545,0.49369969964027405,-0.006518938113003969,0.43012166023254395,0.4289025664329529,-0.06134374067187309,0.45365583896636963,0.543682873249054,-0.08751599490642548,0.4770297408103943,0.578947901725769,-0.09889107197523117,0.5316556096076965,0.46748486161231995,-0.00842269230633974,0.49377888441085815,0.4033370018005371,-0.06672299653291702,0.5150766372680664,0.5451549291610718,-0.06948285549879074,0.5368505120277405,0.5792341232299805,-0.053863778710365295,0.6017403602600098,0.45919501781463623,-0.0238330140709877,0.5671188235282898,0.39194807410240173,-0.0827668234705925,0.5782908797264099,0.5315606594085693,-0.0627671331167221,0.5970197916030884,0.5820015668869019,-0.0296874288469553,0.6776155829429626,0.467159628868103,-0.04465305060148239,0.6375242471694946,0.4089416563510895,-0.07391773164272308,0.6335279941558838,0.498281329870224,-0.056490927934646606,0.6469285488128662,0.5404734015464783,-0.03279780596494675
B,0.6017236113548279,0.8838363885879517,6.82069241975114e-07,0.5263426303863525,0.8384042382240295,-0.03709667921066284,0.4789336323738098,0.7414501905441284,-0.0552082397043705,0.5242969989776611,0.6639527678489685,-0.07191257923841476,0.5938017964363098,0.6415072679519653,-0.08957625925540924,0.4911721646785736,0.5689100027084351,-0.024018537253141403,0.46626871824264526,0.44980138540267944,-0.04617447778582573,0.4531189501285553,0.3756728172302246,-0.06748068332672119,0.44707661867141724,0.30704265832901,-0.08649856597185135,0.544096052646637,0.5461031794548035,-0.029411816969513893,0.5301803350448608,0.4058278203010559,-0.04718029499053955,0.5225533246994019,0.316607266664505,-0.06778331845998764,0.520485520362854,0.23893356323242188,-0.08489324897527695,0.5958734750747681,0.5611458420753479,-0.04091208428144455,0.5988354086875916,0.4328151345252991,-0.062370020896196365,0.6024185419082642,0.3522524833679199,-0.08465644717216492,0.6062841415405273,0.27876099944114685,-0.10200414806604385,0.6446840763092041,0.6019294857978821,-0.05689224228262901,0.6607698202133179,0.5101971626281738,-0.0790269747376442,0.6722217798233032,0.45075809955596924,-0.0922069400548935,0.6827570199966431,0.3925195038318634,-0.10297496616840363
C,0.7041807770729065,0.7643188238143921,-3.416074889628362e-07,0.6171759366989136,0.7550485730171204,0.005073034670203924,0.5528935194015503,0.716885507106781,-0.0031805112957954407,0.49475082755088806,0.7034499645233154,-0.01843174174427986,0.44323045015335083,0.7048355340957642,-0.03346528485417366,0.6158876419067383,0.532507061958313,0.03081912361085415,0.5363844037055969,0.5164118409156799,0.0196499302983284,0.48333409428596497,0.5130773782730103,-0.00029395968886092305,0.44013822078704834,0.5156792998313904,-0.01660250686109066,0.6260534524917603,0.5238832235336304,0.01154956966638565,0.5293803215026855,0.5030866861343384,0.002024788176640868,0.4742823541164398,0.5027750730514526,-0.015517855994403362,0.4272257387638092,0.5077637434005737,-0.03016507998108864,0.625486433506012,0.5339770317077637,-0.011083587072789669,0.531345784664154,0.5034990906715393,-0.020672237500548363,0.4761764705181122,0.4972659945487976,-0.027771348133683205,0.4301506280899048,0.4945257604122162,-0.0335904061794281,0.6123805642127991,0.5621815323829651,-0.03521323204040527,0.5404465794563293,0.5196091532707214,-0.04385049641132355,0.49715498089790344,0.4968709349632263,-0.04603147879242897,0.46108394861221313,0.47713810205459595,-0.04752057418227196
D,0.7055251598358154,0.7697954177856445,-8.651380056790003e-08,0.6074893474578857,0.7521334290504456,0.014975138939917088,0.5496248006820679,0.7084540128707886,0.005832511931657791,0.5009684562683105,0.6856383681297302,-0.01438099518418312,0.4583335220813751,0.6540128588676453,-0.03619387373328209,0.6114363670349121,0.5177304148674011,0.023009033873677254,0.5778452157974243,0.43846845626831055,0.013209345750510693,0.5647977590560913,0.3827197551727295,0.005105299409478903,0.5545058250427246,0.33617496490478516,-0.001710493233986199,0.6221107840538025,0.5129571557044983,-0.00037347982288338244,0.5108016729354858,0.5018505454063416,-0.01743154227733612,0.4724418818950653,0.5642758011817932,-0.02640378847718239,0.4642737805843353,0.6064138412475586,-0.030257975682616234,0.6170352101325989,0.5318145155906677,-0.02467995136976242,0.5054696202278137,0.5177966356277466,-0.04535995051264763,0.4696348011493683,0.5822110772132874,-0.047224510461091995,0.4637278914451599,0.6339244842529297,-0.044263992458581924,0.5989417433738708,0.5666396617889404,-0.047930892556905746,0.5062867403030396,0.5439459085464478,-0.06325995922088623,0.4739495813846588,0.5792768597602844,-0.06126198545098305,0.4659214913845062,0.6229429841041565,-0.055593907833099365
E,0.6777995228767395,0.7115043997764587,-6.236984404495161e-07,0.5935211181640625,0.7046201229095459,-0.00122541724704206,0.5343585014343262,0.6784955859184265,-0.01550933625549078,0.47866910696029663,0.6645476222038269,-0.036839377135038376,0.4278873801231384,0.6532796621322632,-0.0548807829618454,0.5781542062759399,0.5010837912559509,0.023259097710251808,0.49740704894065857,0.5184777975082397,-0.00333037250675261,0.4977969527244568,0.5775160789489746,-0.026804938912391663,0.5230302214622498,0.6149349808692932,-0.03909344971179962,0.5884528756141663,0.4903629720211029,0.009421279653906822,0.4925302267074585,0.5105416178703308,-0.015705695375800133,0.49487918615341187,0.582659900188446,-0.02855025790631771,0.5215033888816833,0.6129411458969116,-0.031615499407052994,0.5931390523910522,0.4951649308204651,-0.008930849842727184,0.4945952296257019,0.5189244747161865,-0.031626537442207336,0.4979545474052429,0.5861728191375732,-0.029671406373381615,0.5287483930587769,0.6122446060180664,-0.022336281836032867,0.5886513590812683,0.5142949819564819,-0.028703901916742325,0.5063320398330688,0.5375370979309082,-0.04473405331373215,0.5071393847465515,0.5877447128295898,-0.04044297710061073,0.5361878275871277,0.6143426895141602,-0.03137078136205673
F,0.6966930627822876,0.7236253619194031,-1.9559305997063348e-07,0.6043161153793335,0.6913254857063293,0.03287235647439957,0.5595369338989258,0.649834156036377,0.03000492975115776,0.5135301947593689,0.6311221718788147,0.011121010407805443,0.466100811958313,0.6079853773117065,-0.009394250810146332,0.6065896153450012,0.4900597333908081,0.0605391263961792,0.5369976162910461,0.48131439089775085,0.04108785465359688,0.49707692861557007,0.5255327224731445,0.015255637466907501,0.479600727558136,0.5677131414413452,0.0014371888246387243,0.6238365769386292,0.4677538275718689,0.024670949205756187,0.5538326501846313,0.38929206132888794,0.02847939357161522,0.5082035064697266,0.34082359075546265,0.025654789060354233,0.47801363468170166,0.3013705611228943,0.02008935436606407,0.6324464082717896,0.4760250449180603,-0.016276352107524872,0.5709079504013062,0.38130539655685425,-0.00976440031081438,0.5292777419090271,0.3212404251098633,0.001045425538904965,0.5023773908615112,0.275875449180603,0.0038566729053854942,0.6198644638061523,0.504343569278717,-0.05825470760464668,0.5809175968170166,0.42860355973243713,-0.053626954555511475,0.5585411190986633,0.37300074100494385,-0.041139841079711914,0.5386216044425964,0.32403358817100525,-0.03378496691584587
G,0.6817362904548645,0.5944690108299255,-5.76644765715173e-07,0.6203857064247131,0.5980609655380249,-0.00177830143366009,0.564246416091919,0.5723757147789001,-0.012938154861330986,0.5164461135864258,0.5579093098640442,-0.030303794890642166,0.4690890610218048,0.5496425032615662,-0.04695112630724907,0.5925063490867615,0.4131874442100525,0.015424615703523159,0.5375175476074219,0.4037564992904663,-0.007677178829908371,0.4920748770236969,0.40269723534584045,-0.02818954922258854,0.45524877309799194,0.4047681391239166,-0.042983733117580414,0.6067172884941101,0.3902978301048279,-0.0002764564414974302,0.535460889339447,0.42652806639671326,-0.03502124547958374,0.5574617385864258,0.4949764013290405,-0.04790765419602394,0.586808443069458,0.5280941128730774,-0.048264823853969574,0.619181752204895,0.3780686855316162,-0.019500816240906715,0.539150595664978,0.4289824962615967,-0.05095888674259186,0.56974858045578,0.4950045049190521,-0.04594351351261139,0.6049829721450806,0.5211060047149658,-0.034456294029951096,0.6309747695922852,0.3790150582790375,-0.04034993425011635,0.5593352317810059,0.4254702031612396,-0.06240946799516678,0.5772078037261963,0.4767898619174957,-0.05707531049847603,0.6063486337661743,0.49963879585266113,-0.04694139212369919
